Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
58;10032;Арсенальний;провулок;Печерський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Немировича-Данченка, вул. до Арсенальної вул.;;;;;;;;;;;;;;;;;;;;
59;10033;Артезіанський;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Захарівської вул. до Рилєєва, вул. ;;;;;;;;;;;;;;;;;;;;
60;13000;Артемія Веделя;вулиця;Голосіївський;Рішення Київської міської ради;12.10.2017;181/3188;«Про найменування нових вулиць у Голосіївському районі міста Києва»;Пролягає від Бродівської, вул. до Володарської, вул.;Проектна-13000;вулиця;;;;;;;;;;;;;;;;;;
61;10035;Артилерійський;провулок;Шевченківський;Постанова бюро Київського міського комітету Компартії України та  виконавчого комітету Київської міської ради депутатів трудящих;15.07.1958;1249;Про найменування та перейменування вулиць м. Києва;Пролягає від лісопарку до Табірної вул.;;;;;;;;;;;;;;;;;;;;
62;12978;Архипа Люльки;вулиця;Солом’янський;Рішення Київської міської ради;12.11.2019;38/7611;Про найменування вулиць та провулків у Солом'янському районі міста Києва;Пролягає від вул. Сергія Висоцького до вул. Кутової;Проектна - 12978;вулиця;;;;;;;;;;;;;;;;;;
63;10553;Архипенка Олександра;вулиця;Оболонський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Йорданської, вул. до Героїв Сталінграда, просп.;Мате Залки;вулиця;;;;;;;;;;;;;;;;;;
64;12972;Архітектора Дяченка;вулиця;Голосіївський;Рішення Київської міської ради;12.11.2019;33/7606;Про найменування вулиць та провулків у Голосіївському районі міста Києва;Пролягає від вул. Володимира Горовиця до просп. Академіка Глушкова;Проектна - 12972;вулиця;;;;;;;;;;;;;;;;;;
65;11786;Архітектора Кобелєва;вулиця;Солом'янський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Стадіонного пров. до Огієнка Івана, вул.;Фурманова;вулиця;;;;;;;;;;;;;;;;;;
66;10036;Архітекторська;вулиця;Солом'янський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Головка Андрія, вул. до Народної вул. ;;;;;;;;;;;;;;;;;;;;
67;10037;Аскольдів;провулок;Печерський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Мазепи Івана, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
68;10038;Астраханська;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Сиваської вул. до Астраханського пров. ;;;;;;;;;;;;;;;;;;;;
69;10039;Астраханський;провулок;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Астраханської вул. до Лохвицької вул. ;;;;;;;;;;;;;;;;;;;;
70;10040;Астрономічна;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.07.1965;1270;Про найменування та перейменування вулиць і площ м. Києва;Пролягає від Петра Дорошенка, вул. до Біляшівського Академіка, вул.;;;;;;;;;;;;;;;;;;;;
71;12970;Атени Пашко;вулиця;Голосіївський;Рішення Київської міської ради;12.11.2019;33/7606;Про найменування вулиць та провулків у Голосіївському районі міста Києва;Пролягає від вул. Теремківської до Кільцевої дороги;Проектна - 12970;вулиця;;;;;;;;;;;;;;;;;;
72;13081;Аттили Могильного;вулиця;Солом’янський;Рішення Київської міської ради  ;19.04.2018;492/4556;Про найменування нової вулиці у Солом'янському районі міста Києва;Пролягає від Василенка Миколи вул. до Гарматної вул.;Проектна - 13081;вулиця;;;;;;;;;;;;;;;;;;
73;10041;Ахматової Анни;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів  ;13.02.1990;149;«Про повернення вулицям історичних назв, найменування і перейменування площі і вулиць у м. Києві, а також впорядкування нумерації окремих будинків»;Пролягає від Ревуцького, вул. до Дніпровської набережної.;;;;;;;;;;;;;;;;;;;;
74;10043;Бабушкіна;провулок;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Безручка Марка, вул. до Кирпоноса, вул.;;;;;;;;;;;;;;;;;;;;
75;10044;Багговутівська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради народних депутатів;06.12.1991;916;Про найменування і перейменування вулиць м. Києва;Пролягає від Академіка Ромоданова, вул. до Половецької вул.;;;;;;;;;;;;;;;;;;;;
76;12701;Багратіона;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Смілянської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
77;11975;Багряна Дуброва;вулиця;Голосіївський;Рішення Київської міської ради;17.02.2011;8/5395;Про найменування нових вулиць у Голосіївському районі м. Києва;Пролягає від проїзду до Золоті Джерела, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
78;11976;Багряного Івана;вулиця;Дніпровський;Рішення Київської міської ради;14.06.2007;746/1407;Про вшанування пам'яті Івана Багряного;Пролягає від Броварського просп. до мікрорайону ДВРЗ.;;;;;;;;;;;;;;;;;;;;
79;10045;Бажана Миколи;проспект;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів;29.12.1984;1116;Про перейменування та найменування вулиць і площ м. Києва;Пролягає від Південного мосту до Харківської пл. ;;;;;;;;;;;;;;;;;;;;
80;10046;Бажова;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Верховної Ради, бульв. до Попудренка, вул. ;;;;;;;;;;;;;;;;;;;;
81;10047;Байкальська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Столєтова Академіка, вул. до кінця забудови. ;;;;;;;;;;;;;;;;;;;;
82;10048;Байкова;вулиця;Голосіївський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Грінченка Миколи, вул. до Забайківської, вул.;;;;;;;;;;;;;;;;;;;;
83;10049;Бакинська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Ольжича, вул. до Петропавлівської вул. ;;;;;;;;;;;;;;;;;;;;
84;10050;Бакинський;провулок;Шевченківський;-;-;-;-;Виник у 20-ті рр. 20 ст. Пролягає від Бакинської вул. до Ольжича, вул.;;;;;;;;;;;;;;;;;;;;
85;11977;Баклажанна;вулиця;Подільський;-;-;-;-;Пролягає від Стеценка, вул. до Івана Виговського, вул.  ;;;;;;;;;;;;;;;;;;;;
