Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
2411;11593;Спортивна;площа;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих   ;30.12.1962;2216;«Про найменування та перейменування вулиць і площ м. Києва»;Розташована вздовж Еспланадної вул. навпроти Рогнідинської вул.;;;;;;;;;;;;;;;;;;;;
2412;12751;Спортивна ;вулиця;Дніпровський;-;-;-;-;Пролягає від Лінії 5 і Садової 200 вул. до Садової 204 вул.;;;;;;;;;;;;;;;;;;;;
2413;12136;Справедливості;вулиця;Деснянський;;-;;;Пролягає від Радосинської, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2414;11594;Срібнокільська;вулиця;Дарницький;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації ;13.07.1993;96/737;Про найменування нових вулиць на масиві Осокорки-Позняки Харківського району м. Києва;Пролягає від Княжий Затон, вул. (двічі).;;;;;;;;;;;;;;;;;;;;
2415;11595;Ставкова;вулиця;Голосіївський;-;-;-;-;Сучасна назва з 1957. Пролягає від Солов'їної вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2416;11596;Ставропольська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Щербаківського Данила, вул. до Саратовської вул.;;;;;;;;;;;;;;;;;;;;
2417;11597;Ставропольський;провулок;Шевченківський;-;-;-;-;Сучасна назва з 1957. Пролягає від Януша Корчака, вул. до Ставропольської вул.;;;;;;;;;;;;;;;;;;;;
2418;11598;Стадіонна;вулиця;Солом'янський;-;-;-;-;Сучасна назва з 1928. Пролягає від Липківського Василя Митрополита, вул. до Тополевої вул.;;;;;;;;;;;;;;;;;;;;
2419;11599;Стадіонна;вулиця;Солом'янський;-;-;-;-;Пролягає від Колоса Сергія, вул. до Потоцького Павла вул.;;;;;;;;;;;;;;;;;;;;
2420;11600;Стадіонний;провулок;Солом'янський;-;-;-;-;Сучасна назва з 1928. Пролягає від Брюлова, вул. до Стадіонної вул.;;;;;;;;;;;;;;;;;;;;
2421;11601;Стальського Сулеймана;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Райдужної вул. до Братиславської вул.;;;;;;;;;;;;;;;;;;;;
2422;11602;Станіславського;вулиця;Печерський;Постанова Президії Київської міської ради робітничих, селянських та червоноармійських депутатів;11.11.1938;1082/6 ;«Про перейменування вулиць м. Києва»;Пролягає від Заньковецької, вул. до Франка Івана, пл.;;;;;;;;;;;;;;;;;;;;
2423;11603;Станюковича;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Алматинської вул. до Калачівської вул.;;;;;;;;;;;;;;;;;;;;
2424;11604;Стара Поляна;вулиця;Шевченківський;-;-;-;-;Виникла у 2-й пол. 19 ст. Пролягає від Лук'янівської вул. (сполучається сходами) до Шмідта Отто, вул. та Нижньоюрківської вул.;;;;;;;;;;;;;;;;;;;;
2425;11605;Старицького;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Старицького, пров. (двічі).;;;;;;;;;;;;;;;;;;;;
2426;11606;Старицького;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Замковецької вул. до Старицького, вул.  ;;;;;;;;;;;;;;;;;;;;
2427;10693;Старицької-Черняхівської;вулиця;Святошинський;Рішення Київської міської ради ;15.11.2018;19/6070;Про перейменування вулиці у Святошинському районі міста Києва;Пролягає від Мельниченка, вул. до Жмеринської вул. ;Кіровська;вулиця;;;;;;;;;;;;;;;;;;
2428;11607;Старобориспільська;вулиця;Дарницький;-;-;-;-;Сучасна назва з 2008. Пролягає від Бориспільської вул. до Харківської пл.;;;;;;;;;;;;;;;;;;;;
2429;11608;Старовокзальна;вулиця;Шевченківський;Постанова Президії Київської міської ради робітничих, селянських та червоноармійських депутатів;19.07.1939;1143/29 ;«Про перейменування вулиць м. Києва по Сталінському району»;Пролягає від Перемоги, пл. та Саксаганського, вул. до Пестеля Павла, вул. ;;;;;;;;;;;;;;;;;;;;
2430;11609;Старожитомирський;провулок;Шевченківський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих ;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Дегтярівської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2431;11610;Старо-Київська;вулиця;Шевченківський;Постанова Президії Київської міської ради робітничих, селянських та червоноармійських депутатів;11.11.1938;1082/6 ;«Про перейменування вулиць м. Києва»;Пролягає від Ярмоли Віктора, вул. до Богдана Гаврилишина, вул.;;;;;;;;;;;;;;;;;;;;
2432;11611;Старокиївський;провулок;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Ярмоли Віктора, вул. до Кирило-Мефодіївської вул.;;;;;;;;;;;;;;;;;;;;
2433;11612;Старонаводницька;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;30.12.1962;2216;Про найменування та перейменування вулиць і площ м. Києва;Відома з 18 ст. Пролягає від Генерала Алмазова, вул. до Героїв Великої Вітчизняної війни, пл.;;;;;;;;;;;;;;;;;;;;
2434;12137;Старообухівська;вулиця;Голосіївський;-;-;-;-;Пролягає через хутір Мриги (біля оз. Шапарня), як продовження проїзду від Столичного шосе.;;;;;;;;;;;;;;;;;;;;
2435;11613;Старосільська;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Запорожця Петра, вул. до Стальського Сулеймана, вул. ;;;;;;;;;;;;;;;;;;;;
2436;12615;Старосільська;вулиця;Деснянський;-;-;-;-;Пролягає в ур. Старе Село паралельно Старосільському пров. та береговій лінії Десенки. ;;;;;;;;;;;;;;;;;;;;
2437;12109;Старосільський;провулок;Дніпровський;Рішення Київської міської ради;29.04.2010;586/4024;"Про затвердження назви провулок Старосільський"" в Дніпровському районі м. Києва";Пролягає від Навої Алішера, вул. до Перова, бульв.;;;;;;;;;;;;;;;;;;;;
2438;12616;Старосільський;провулок;Деснянський;-;-;-;-;Пролягає в ур. Старе Село паралельно Старосільській вул. та береговій лінії Десенки. ;;;;;;;;;;;;;;;;;;;;
2439;11614;Стельмаха Михайла;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради народних депутатів;22.06.1987;637;«Про перейменування вулиці Ровенської на вулицю Михайла Стельмаха та вул. М. Стельмаха на вул. Космічну»;Пролягає від Голосіївського, просп. до Водогінної вул.;;;;;;;;;;;;;;;;;;;;
2440;11098;Степана Бандери;проспект;Оболонський, Подільський;Рішення Київської міської ради;07.07.2016;559/559;Про перейменування вулиць, проспекту та провулку у місті Києві;Пролягає від Куренівської вул. і Кирилівської, вул. до Московського мосту.;Московський;проспект;;;;;;;;;;;;;;;;;;
2441;13078;Степана Витвицького;вулиця;Деснянський;Рішення Київської міської ради;12.10.2017;180/3187;«Про найменування нових вулиць у Деснянському районі міста Києва»;Пролягає від Броварського, просп. до Бобринецької, вул.;Проектна-13078;вулиця;;;;;;;;;;;;;;;;;;
2442;12697;Степана Ерастова;провулок;Солом'янський;Рішення Київської міської ради;12.11.2019;38/7611;Про найменування вулиць та провулків у Солом'янському районі міста Києва;Пролягає від Московської вул. до кінця забудови.;"Крейсера ""Аврора""";провулок;;;;;;;;;;;;;;;;;;
2443;11615;Степанченка Василя;вулиця;Святошинський;Рішення Київської міської ради ;26.06.2007;932/1593;«Про перейменування вулиць у Святошинському районі міста Києва»;Пролягає вздовж залізниці від Онискевича Григорія, вул. до Робітничої вул.;;;;;;;;;;;;;;;;;;;;
2444;12049;Степовий;провулок;Деснянський;Рішення Київської міської ради;28.04.2011;156/5543;"Про найменування нових вулиць та провулків у котеджному селищі Деснянське"" в Деснянському районі м. Києва""";Пролягає між Плахотнюка Миколи, вул. та Даля Олександра, вул.;;;;;;;;;;;;;;;;;;;;
2445;11616;Степового Якова;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.07.1969;1306;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Заболотного Академіка, вул. до Сірка Івана, вул. ;;;;;;;;;;;;;;;;;;;;
2446;11617;Стеценка;вулиця;Подільський, Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;21.03.1977;410;«Про впорядкування найменувань та перейменувань вулиць і площ м. Києва»;Пролягає від Щусєва, вул. і залізничного шляхопроводу до Палладіна Академіка, просп. і Міської вул. ;;;;;;;;;;;;;;;;;;;;
2447;13059;Стигольська;вулиця;Деснянський;Рішення Київської міської ради;30.07.2020;247/9326;Про найменування вулиць та провулків у Деснянському та Святошинському районах міста Києва;Пролягає від вулиці Ковпитської та вулиці Пляхівської до вулиці Помильської;Проєктна 13059 (Дачна 3);вулиця;;;;;;;;;;;;;;;;;;
2448;11619;Столєтова;провулок;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Стратегічного шосе до Столєтова, вул. ;;;;;;;;;;;;;;;;;;;;
2449;11618;Столєтова;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Грабовського Павла, вул. до Грабовського Павла, пров. ;;;;;;;;;;;;;;;;;;;;
2450;11620;Столичне;шосе;Голосіївський;-;-;-;-;Сучасна назва з 1957. Пролягає від Наддніпрянського шосе (поблизу Промислової вул.) до межі міськради.;;;;;;;;;;;;;;;;;;;;
2451;12050;Сторожова;вулиця;Подільський;-;-;-;-;Пролягає від Туполєва Академіка, вул. до Стеценка, вул. ;;;;;;;;;;;;;;;;;;;;
2452;11621;Стражеска Академіка;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;21.11.1961;2259;«Про найменування та перейменування вулиць, площ та парків міста» ;Пролягає від Героїв Севастополя, вул. до Гавела Вацлава, бульв.;;;;;;;;;;;;;;;;;;;;
2453;11622;Стратегічне;шосе;Голосіївський;-;-;-;-;Виникла у 1-й чверті 20 ст. Пролягає від Ціолковського, вул. до Саперно-Слобідської вул.;;;;;;;;;;;;;;;;;;;;
2454;11623;Стратегічний;провулок;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих ;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від тупика до кінця забудови (поблизу Стратегічного шосе).;;;;;;;;;;;;;;;;;;;;
2455;11624;Стратонавтів;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;16.12.1974;1476;«Про впорядкування найменувань та перейменування вулиць м. Києва» ;Пролягає від 9 Травня, вул. до Миру, вул. ;;;;;;;;;;;;;;;;;;;;
2456;11625;Стрийська;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Ґалаґанівської, вул. до Чистяківської вул.;;;;;;;;;;;;;;;;;;;;
2457;11626;Стрілецька;вулиця;Шевченківський;-;-;-;-;Виникла у 2-й пол. 17 ст. Пролягає від Великої Житомирської вул. до Ярославів Вал, вул.;;;;;;;;;;;;;;;;;;;;
2458;11627;Стрілкова;вулиця;Голосіївський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Добрий Шлях, вул. до Рильського Максима, вул. ;;;;;;;;;;;;;;;;;;;;
2459;11628;Стрітенська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради народних депутатів;03.04.1990;329;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Стрілецької вул. до Великої Житомирської вул.;;;;;;;;;;;;;;;;;;;;
2460;11631;Студентська;вулиця;Шевченківський;Постанова Президії Київської міської ради робітничих, селянських та червоноармійських депутатів;11.11.1938;1082/6 ;«Про перейменування вулиць м. Києва»;Пролягає від Січових Стрільців, вул. до Дончука, вул.;;;;;;;;;;;;;;;;;;;;
2461;11632;Стуса Василя;вулиця;Святошинський;Рішення Київської міської ради ;27.03.2003;351/511;«Про перейменування вулиці Радгоспної у Святошинському районі на вулицю Василя Стуса та проспекту Червоних Козаків у Оболонському районі на Московський проспект»;Пролягає від Біличанської вул. до Палладіна Академіка, просп. ;;;;;;;;;;;;;;;;;;;;
2462;11634;Суворова;вулиця;Деснянський;-;-;-;-;Пролягає від Радосинської, вул. до Гоголя, вул. (Троєщина).;;;;;;;;;;;;;;;;;;;;
2463;11635;Суворова;вулиця;Дарницький;-;-;-;-;Пролягає від Лісної вул. до Дяченка Івана, вул. (Бортничі).;;;;;;;;;;;;;;;;;;;;
2464;11636;Суворова;провулок;Дарницький;-;-;-;-;Пролягає від Суворова, вул. до Садової вул.;;;;;;;;;;;;;;;;;;;;
2465;11637;Суздальська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Відрадного просп. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2466;12447;Суміжна;вулиця;Дніпровський;-;-;-;-;Пролягає від проїзду, що проходить паралельно Лінії 1 до безіменного проїзду, що проходить вздовж оз. Радунка (Райдуга). ;;;;;;;;;;;;;;;;;;;;
2467;11638;Сумська;вулиця;Голосіївський, Солом'янський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Васильківської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2468;12174;Сунична (Озерна 7);вулиця;Дарницький;Лист;15.01.2014;333/0/02-14;"п. 50 Листа ДП ""Інформаційний центр"" Міністерства юстиції України";Пролягає від безіменного озера до оз.Підбірна, паралельно вул. Абрикосова;;;;;;;;;;;;;;;;;;;;
2469;11639;Сурикова;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;16.12.1974;1476;«Про впорядкування найменувань та перейменування вулиць м. Києва» ;Пролягає від Повітрофлотського просп. до Солом'янської пл. ;;;;;;;;;;;;;;;;;;;;
2470;10051;Сухенка Василя;провулок;Дніпровський;Рішення Київської міської ради;20.12.2016;704/1708;Про уточнення назв, перейменування вулиць та провулків у місті Києві;Пролягає від Гродненської вул. до Азербайджанської вул. ;Бакинських Комісарів;провулок;;;;;;;;;;;;;;;;;;
2471;12051;Сухомлинського Василя;вулиця;Деснянський;Рішення Київської міської ради;28.04.2011;156/5543;"Про найменування нових вулиць та провулків у котеджному селищі Деснянське"" в Деснянському районі м. Києва""";Пролягає від Даля Олександра, вул. до Сови Андрія, вул. ;;;;;;;;;;;;;;;;;;;;
2472;11640;Сухумська;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Моринецької вул. до Золочевської вул.;;;;;;;;;;;;;;;;;;;;
2473;12183;Східна;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих;21.03.1977;410;Про впорядкування найменувань та перейменувань вулиць і площ м. Києва;Пролягає від Центральної вул. до Лугової 10 вул. ;;;;;;;;;;;;;;;;;;;;
2474;12486;Східна 1;вулиця;Подільський;-;-;-;-;Пролягає від Газопровідної вул. до перентину Лінії 1 з Лінією 9.;;;;;;;;;;;;;;;;;;;;
2475;12184;Східна 1;вулиця;Дарницький;-;-;-;-;Пролягає від Лугової 1 вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2476;12185;Східна 2;вулиця;Дарницький;-;-;-;-;Пролягає від Лугової 1 вул. до кінця забудови. ;;;;;;;;;;;;;;;;;;;;
2477;12186;Східна 3;вулиця;Дарницький;-;-;-;-;Пролягає від початку забудови до Лугової 10 вул. ;;;;;;;;;;;;;;;;;;;;
2478;12162;Східно-Дальній 1;провулок;Дарницький;-;-;-;-;Пролягає від Північно-Степової вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2479;12163;Східно-Дальній 2;провулок;Дарницький;-;-;-;-;Пролягає від Східно-Дальнього 1 пров. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2480;12164;Східно-Дальній 3;провулок;Дарницький;-;-;-;-;Пролягає від Східно-Дальньої вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2481;12165;Східно-Дальній 4;провулок;Дарницький;-;-;-;-;Пролягає від Східно-Дальньої вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2482;12166;Східно-Дальній 5;провулок;Дарницький;-;-;-;-;Пролягає від Східно-Дальньої вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2483;12167;Східно-Дальній 6;провулок;Дарницький;-;-;-;-;Пролягає від Східно-Дальньої вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2484;12144;Східно-Дальня;вулиця;Дарницький;-;-;-;-;Пролягає від Східно-Дальнього 1 пров. до межі міськради.;;;;;;;;;;;;;;;;;;;;
2485;10864;Табірна;вулиця;Шевченківський;Рішення Київської міської ради;22.02.2018;319/4383;Про уточнення назв вулиць та провулків у місті Києві;Пролягає від Жабаєва Жамбила, вул. до Перемоги, просп.  ;Лагерна;вулиця;;;;;;;;;;;;;;;;;;
2486;11641;Таврійська;вулиця;Подільський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Білицької вул. до Зоряної вул.;;;;;;;;;;;;;;;;;;;;
2487;11642;Таврійський;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Білицької вул. до Полкової вул.;;;;;;;;;;;;;;;;;;;;
2488;11643;Таганрозька ;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Винахідників, пров. до Гіллястого пров.;;;;;;;;;;;;;;;;;;;;
2489;11644;Таганрозький;провулок;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Марганецької вул. до Опришківської вул.;;;;;;;;;;;;;;;;;;;;
2490;11645;Тагільська ;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Шполянської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2491;11646;Тагільський;провулок;Подільський;-;-;-;-;Сучасна назва з 1955. Пролягає від Захарівської вул. до Веселкового пров.;;;;;;;;;;;;;;;;;;;;
2492;13107;Тадея Рильського;бульвар;Голосіївський;Рішення Київської міської ради;12.11.2019;33/7606;Про найменування вулиць та провулків у Голосіївському районі міста Києва;Пролягає від вул. Родини Кістяківських до Кільцевої дороги;Проектний - 13107;бульвар;;;;;;;;;;;;;;;;;;
2493;11647;Тальнівська;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Тепловозної вул. до Дніпровської набережної.;;;;;;;;;;;;;;;;;;;;
2494;11648;Тампере;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;26.01.1961;146;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Регенераторної вул. до Миру, просп. ;;;;;;;;;;;;;;;;;;;;
2495;11649;Танкістів;вулиця;Солом'янський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Героїв Севастополя, вул. до Суздальської вул.;;;;;;;;;;;;;;;;;;;;
2496;10430;Таранушенка Стефана;вулиця;Деснянський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Сім'ї Ханенків, вул. до Миру, вул.;Дзержинського;вулиця;;;;;;;;;;;;;;;;;;
2497;11650;Тарасівська;вулиця;Голосіївський;-;-;-;-;Сучасна назва з 1869. Пролягає від Толстого Льва, вул. до Яна Василя, вул. ;;;;;;;;;;;;;;;;;;;;
2498;11651;Тарасової Алли;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради народних депутатів;16.04.1979;512;«Про перейменування Маложитомирського провулку на вулицю Алли Тарасової»;Пролягає від Михайлівського пров. до Володимирського проїзду.;;;;;;;;;;;;;;;;;;;;
2499;11652;Таращанська ;вулиця;Святошинський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Таращанського пров. до Рахманінова, вул.;;;;;;;;;;;;;;;;;;;;
2500;11653;Таращанський;провулок;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Рубежівської вул., має два відгалуження — до Таращанської вул. та Кам'янець-Подільської вул.;;;;;;;;;;;;;;;;;;;;
2501;11654;Татарська;вулиця;Шевченківський;-;-;-;-;Відома з 60-х рр. 19 ст. Пролягає від Глибочицької вул. до Нагірної вул.;;;;;;;;;;;;;;;;;;;;
2502;11655;Татарський;провулок;Шевченківський;-;-;-;-;Відома з 60-х рр. 19 ст. Пролягає від Половецької вул. до Печенізької вул.;;;;;;;;;;;;;;;;;;;;
2503;11656;Ташкентська;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;26.08.1963;1247;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Кронштадтської вул. до Харківської пл.;;;;;;;;;;;;;;;;;;;;
2504;11657;Тбіліський ;провулок;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Шулявської вул. до Ярмоли Віктора, вул.;;;;;;;;;;;;;;;;;;;;
2505;11659;Тверський;тупик;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Іоанна Павла ІІ, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
2506;11660;Творча;вулиця;Голосіївський;Рішення Київської міської ради;27.11.2008;645/645;«Про найменування вулиць нового мікрорайону у Голосіївському районі»;Пролягає від Вільямса Академіка, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
2507;11661;Театральна;площа;Шевченківський;Постанова Президії Київської міської ради робітничих, селянських та червоноармійських депутатів;19.07.1939;1143/29 ;«Про перейменування вулиць м. Києва по Сталінському району»;Розташована на розі Володимирської вул. і Хмельницького Богдана, вул.;;;;;;;;;;;;;;;;;;;;
2508;11662;Телеграфний;провулок;Печерський;-;-;-;-;Виник у кін. 19 ст. Пролягає від Рибальської вул. до Печерського узвозу.;;;;;;;;;;;;;;;;;;;;
2509;11663;Теліги Олени;вулиця;Подільський, Шевченківський;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації;02.02.1993;16/116 ;Про повернення вулицям історичних назв, перейменування парків культури та відпочинку, станцій метро;Пролягає від Дегтярівської вул. до Степана Бандери просп. і Новокостянтинівської вул.;;;;;;;;;;;;;;;;;;;;
2510;11665;Теплична;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;21.03.1977;410;«Про впорядкування найменувань та перейменувань вулиць і площ м. Києва»;Пролягає від Трублаїні, вул. (двічі, утворюючи півколо).;;;;;;;;;;;;;;;;;;;;
2511;11666;Тепловозна ;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Харківського шосе до Тальнівської вул.;;;;;;;;;;;;;;;;;;;;
2512;11667;Теремківська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;21.03.1977;410;«Про впорядкування найменувань та перейменувань вулиць і площ м. Києва»;Пролягає від Одеської пл. та Кільцевої дороги до Жулянської вул. (паралельно Глушкова Академіка, просп.).;;;;;;;;;;;;;;;;;;;;
2513;11668;Теремківський;провулок;Солом'янський;-;-;-;-;Сучасна назва з 1944. Пролягає від Архітекторської вул. до Оборонної вул.;;;;;;;;;;;;;;;;;;;;
2514;11670;Терешкової Валентини 2;провулок;Дарницький;-;-;-;-;Пролягає від Маслюченко Варвари, вул. до Святищенської, вул.;;;;;;;;;;;;;;;;;;;;
2515;11671;Терещенка Миколи;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;10.09.1968;1494;Про найменування та перейменування вулиць м. Києва;Пролягає від Сім'ї Стешенків, вул. до Верховинця Василя, вул.;;;;;;;;;;;;;;;;;;;;
2516;11672;Терещенківська ;вулиця;Шевченківський;Розпорядження Представника Президента України у місті Києві;11.09.1992;1043;«Про повернення вулицям історичних назв»;Пролягає від Хмельницького Богдана, вул. до Толстого Льва, вул. ;;;;;;;;;;;;;;;;;;;;
2517;11673;Тернопільська;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Вернадського Академіка, бульв. до Огарьова, вул. і Хмельницької вул.;;;;;;;;;;;;;;;;;;;;
2518;11674;Терьохіна Олексія;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;26.08.1963;1247;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Кирилівської, вул. до Новокостянтинівської вул.;;;;;;;;;;;;;;;;;;;;
2519;11675;Теслярська;вулиця;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих ;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Амурської вул. до тупика.;;;;;;;;;;;;;;;;;;;;
2520;11676;Тешебаєва;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради народних депутатів;22.07.1985;611;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Естонської вул. до Салютної вул.;;;;;;;;;;;;;;;;;;;;
2521;11677;Тимірязєвська;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Бастіонної вул. (як її продовження) до залізниці.;;;;;;;;;;;;;;;;;;;;
2522;11678;Тимірязєвський;провулок;Печерський;-;-;-;-;Сучасна назва з 1955. Пролягає від Тимірязєвської вул. до Новоселицької вул.;;;;;;;;;;;;;;;;;;;;
